No,City,Location,Sample category,Sample code,Collection year,Aphid taxa,Wasp taxa,Plant species,Hamiltonella strain,Sequencing method,Sequencing date,Data source
963,London,Parkland Walk,Mummy,Sycamore_Plate4_26,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
964,London,Parkland Walk,Mummy,Sycamore_Plate4_27,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
965,London,Parkland Walk,Mummy,Sycamore_Plate4_28,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
966,London,Parkland Walk,Mummy,Sycamore_Plate4_30,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
967,London,Parkland Walk,Mummy,Sycamore_Plate4_31,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,3467,Illumina,2022,This study
968,London,Parkland Walk,Mummy,Sycamore_Plate4_32,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,3467,Illumina,2022,This study
969,London,Parkland Walk,Mummy,Sycamore_Plate4_35,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
970,London,Parkland Walk,Mummy,Sycamore_Plate4_36,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
971,London,Parkland Walk,Mummy,Sycamore_Plate4_37,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
972,London,Parkland Walk,Mummy,Sycamore_Plate4_38,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
973,London,Parkland Walk,Mummy,Sycamore_Plate4_39,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
974,London,Parkland Walk,Mummy,Sycamore_Plate4_40,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
975,London,Parkland Walk,Mummy,Sycamore_Plate4_41,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
976,London,Parkland Walk,Mummy,Sycamore_Plate4_42,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
977,London,Parkland Walk,Mummy,Sycamore_Plate4_43,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
978,London,Parkland Walk,Mummy,Sycamore_Plate4_45,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
979,London,Parkland Walk,Mummy,Sycamore_Plate4_46,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
980,London,Parkland Walk,Mummy,Sycamore_Plate4_47,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
981,London,Parkland Walk,Mummy,Sycamore_Plate4_48,19/05/2022,Drepanosiphum platanoidis,Falciconus pseudoplatani,Acer pseudoplatanus,NA,Illumina,2022,This study
982,London,Parkland Walk,Mummy,Sycamore_Plate4_49,19/05/2022,Drepanosiphum platanoidis,Trioxys sp. 39,Acer pseudoplatanus,NA,Illumina,2022,This study
983,London,Parkland Walk,Mummy,Sycamore_Plate4_50,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
984,London,Parkland Walk,Mummy,Sycamore_Plate4_51,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,3467,Illumina,2022,This study
985,London,Parkland Walk,Mummy,Sycamore_Plate4_52,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
986,London,Parkland Walk,Mummy,Sycamore_Plate4_55,19/05/2022,Drepanosiphum platanoidis,Falciconus pseudoplatani,Acer pseudoplatanus,NA,Illumina,2022,This study
987,London,Parkland Walk,Mummy,Sycamore_Plate4_56,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
988,London,Parkland Walk,Mummy,Sycamore_Plate4_57,19/05/2022,Drepanosiphum platanoidis,Aphelinus sp. 8,Acer pseudoplatanus,NA,Illumina,2022,This study
